Country,Adjectivals
Abkhazia,Abkhaz
Afghanistan,Afghan 
Åland Islands,Åland Island 
Albania,Albanian 
Algeria,Algerian 
American Samoa,American Samoan 
Andorra,Andorran 
Angola,Angolan 
Anguilla,Anguillan 
Antarctica,Antarctic 
Antigua and Barbuda,Antiguan
Argentina,Argentine 
Armenia,Armenian 
Aruba,Aruban 
Australia,Australian 
Austria,Austrian 
Azerbaijan,Azerbaijani
Bahamas, The Bahamian 
Bahrain,Bahraini 
Bangladesh,Bangladeshi 
Barbados,Barbadian 
Belarus,Belarusian 
Belgium,Belgian 
Belize,Belizean 
Benin,Beninese
Bermuda,Bermudian
Bhutan,Bhutanese 
Bolivia,Bolivian 
Bonaire,Bonaire 
Bosnia and Herzegovina,Bosnian
Botswana,Botswanan
Bouvet Island,Bouvet Island 
Brazil,Brazilian 
British Indian Ocean Territory,BIOT 
Brunei,Bruneian 
Bulgaria,Bulgarian 
Burkina Faso,Burkinabé 
Burma,Burmese 
Burundi,Burundian 
Cabo Verde,Cabo Verdean 
Cambodia,Cambodian 
Cameroon,Cameroonian 
Canada,Canadian 
Cayman Islands,Caymanian 
Central African Republic,Central African 
Chad,Chadian 
Chile,Chilean 
China,Chinese 
Taiwan,Taiwanese
Christmas Island,Christmas Island 
Cocos Islands,Cocos Island 
Colombia,Colombian 
Comoros,Comoran
Congo,Congolese 
Republic of the Cook Islands,Cook Island 
Costa Rica,Costa Rican 
Côte d'Ivoire,Ivorian 
Croatia,Croatian 
Cuba,Cuban 
Curaçao,Curaçaoan 
Cyprus,Cypriot 
Czech Republic,Czech 
Denmark,Danish 
Djibouti,Djiboutian 
Dominica,Dominican
Dominican Republic,Dominican
East Timor,Timorese 
Ecuador,Ecuadorian 
Egypt,Egyptian 
El Salvador,Salvadoran 
Equatorial Guinea,Equatorial Guinean
Eritrea,Eritrean 
Estonia,Estonian 
Ethiopia,Ethiopian 
European Union,European
Falkland Islands,Falkland Island 
Faroe Islands,Faroese 
Fiji,Fijian 
Finland,Finnish 
France,French 
French Guiana,French Guianese 
French Polynesia,French Polynesian 
French Southern Territories,French Southern Territories 
Gabon,Gabonese 
Gambia,Gambian 
Georgia,Georgian 
Germany,German 
Ghana,Ghanaian 
Gibraltar,Gibraltar 
Greece,Greek
Greenland,Greenlandic 
Grenada,Grenadian 
Guadeloupe,Guadeloupe 
Guam,Guamanian
Guatemala,Guatemalan 
Guernsey,Channel Island 
Guinea,Guinean 
Guinea-Bissau,Bissau-Guinean 
Guyana,Guyanese 
Haiti,Haitian 
Heard Island and McDonald Islands,Heard Island
Honduras,Honduran 
Hong Kong,Hong Kong
Hungary,Hungarian
Iceland,Icelandic 
India,Indian 
Indonesia,Indonesian 
Iran,Iranian
Iraq,Iraqi 
Ireland,Irish 
Isle of Man,Manx 
Israel,Israeli 
Italy,Italian 
Ivory Coast,Ivorian 
Jamaica,Jamaican 
Jan Mayen,Jan Mayen 
Japan,Japanese 
Jersey,Channel Island 
Jordan,Jordanian 
Kazakhstan,Kazakh 
Kenya,Kenyan 
Kiribati,I-Kiribati 
North Korea,North Korean 
South Korea,South Korean
Kosovo,Kosovan 
Kuwait,Kuwaiti 
Kyrgyzstan,Kyrgyzstani
Laos,Laotian 
Latvia,Latvian
Lebanon,Lebanese 
Lesotho,Basotho 
Liberia,Liberian 
Libya,Libyan 
Liechtenstein,Liechtensteiner 
Lithuania,Lithuanian 
Luxembourg,Luxembourg
Macau,Chinese 
Macedonia,Macedonian 
Madagascar,Malagasy 
Malawi,Malawian 
Malaysia,Malaysian 
Maldives,Maldivian 
Mali,Malian
Malta,Maltese 
Marshall Islands,Marshallese 
Martinique,Martinican 
Mauritania,Mauritanian 
Mauritius,Mauritian 
Mayotte,Mahoran 
Mexico,Mexican 
Micronesia,Micronesian 
Moldova,Moldovan 
Monaco,Monacan 
Mongolia,Mongolian 
Montenegro,Montenegrin 
Montserrat,Montserratian 
Morocco,Moroccan 
Mozambique,Mozambican 
Myanmar,Burmese 
Namibia,Namibian 
Nauru,Nauruan 
Nepal,Nepali
Netherlands,Dutch
New Caledonia,New Caledonian 
New Zealand,New Zealand
Nicaragua,Nicaraguan 
Niger,Nigerien 
Nigeria,Nigerian 
Niue,Niuean 
Norfolk Island,Norfolk Island 
Northern Ireland,Northern Irish
Northern Mariana Islands,Northern Marianan 
Norway,Norwegian 
Oman,Omani 
Pakistan,Pakistani 
Palau,Palauan 
Palestine,Palestinian 
Panama,Panamanian 
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan 
Peru,Peruvian 
Philippines,Filipino
Pitcairn Islands,Pitcairn Island 
Poland,Polish 
Portugal,Portuguese 
Puerto Rico,Puerto Rican 
Qatar,Qatari 
Réunion,Réunionese
Romania,Romanian 
Russia,Russian 
Rwanda,Rwandan 
Saba,Saba 
Saint Barthélemy,Barthélemois 
Saint Helena,Saint Helenian 
Saint Kitts and Nevis,Kittitian
Saint Lucia,Saint Lucian 
Saint Martin,Saint-Martinoise 
Saint Pierre and Miquelon,Saint-Pierrais
Saint Vincent and the Grenadines,Saint Vincentian
Samoa,Samoan 
San Marino,Sammarinese 
São Tomé and Príncipe,São Toméan 
Saudi Arabia,Saudi Arabian 
Scotland,Scottish
Senegal,Senegalese 
Serbia,Serbian 
Seychelles,Seychellois 
Sierra Leone,Sierra Leonean 
Singapore,Singaporean
Sint Eustatius,Statian 
Sint Maarten,Sint Maarten 
Slovakia,Slovak 
Slovenia,Slovenian
Solomon Islands,Solomon Island 
Somalia,Somali 
Somaliland,Somalilander 
South Africa,South African 
South Georgia and the South Sandwich Islands,South Georgia
South Ossetia,South Ossetian 
South Sudan,South Sudanese 
Spain,Spanish 
Sri Lanka,Sri Lankan 
Sudan,Sudanese 
Surinam,Surinamese 
Svalbard,Svalbard 
Swaziland,Swazi 
Sweden,Swedish 
Switzerland,Swiss 
Syria,Syrian 
Tajikistan,Tajikistani 
Tanzania,Tanzanian 
Thailand,Thai 
Timor-Leste,Timorese 
Togo,Togolese 
Tokelau,Tokelauan 
Tonga,Tongan 
Trinidad and Tobago,Trinidadian
Tunisia,Tunisian 
Turkey,Turkish 
Turkmenistan,Turkmen 
Turks and Caicos Islands,Turks and Caicos Island 
Tuvalu,Tuvaluan 
Uganda,Ugandan 
Ukraine,Ukrainian 
United Arab Emirates,Emirati
Great Britain,British
United States of America,American 
Uruguay,Uruguayan 
Uzbekistan,Uzbek 
Vanuatu,Vanuatuan 
Vatican City State,Vatican 
Venezuela,Venezuelan 
Vietnam,Vietnamese 
Western Sahara,Sahrawi
Yemen,Yemeni 
Zambia,Zambian 
Zimbabwe,Zimbabwean 
